Date List Produced,Record Expiration Date,Company Name,Mailing Address,Mailing City,Mailing State,Mailing Zip Code,Mailing Zip 4,Credit Rating Score,Location Employee Size Range,IUSA Number,Executive Last Name,Executive First Name,Executive Gender,Executive Title,Fax Number Combined,Phone Number Combined,Primary SIC Code,Primary SIC Code Description,Location Sales Volume Range,SIC Code 1,SIC Code Description 1,Lead Status,Tags
10/02/2018,04/02/2019,1-800-Radiator & A/C,,Benicia,CA,94510,,C,1 to 4,734425238,,,,,,(414) 607-6820,7539-01,Automobile Radiator Repairing,"Less Than $500,000",7539-01,Automobile Radiator Repairing,,
10/02/2018,04/02/2019,1-800-Radiator & A/C,2990 Bay Vista Ct,Benicia,CA,94510,1194,B,1 to 4,721086095,,,,,,(858) 271-7161,5531-32,Radiators-Automotive-Retail,"$500,000-1 Million",5531-32,Radiators-Automotive-Retail,,
10/02/2018,04/02/2019,1-800-Radiator & A/C,4650 E 2nd St,Benicia,CA,94510,1049,B,1 to 4,711792612,,,,,,(707) 297-6019,5531-32,Radiators-Automotive-Retail,"$500,000-1 Million",5531-32,Radiators-Automotive-Retail,,
10/02/2018,04/02/2019,7 Flags Car Wash Self Svc,451 E O St,Benicia,CA,94510,,B,1 to 4,858541055,Anthony,Jack,Male,Owner,,(707) 746-0777,7542-01,Car Washing & Polishing,"Less Than $500,000",7542-01,Car Washing & Polishing,,
10/02/2018,04/02/2019,907 Grill,907 1st St,Benicia,CA,94510,3217,A,5 to 9,626686414,Hadeed,Ibrahim,Male,Owner,,(707) 746-0505,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,A Hofheimer David H Dc Esq,PO Box 52,Benicia,CA,94510,0052,B,1 to 4,718050548,Hofheimer,David H,Male,Owner,,(707) 745-9700,8041-01,Chiropractors DC,"Less Than $500,000",8041-01,Chiropractors DC,,
10/02/2018,04/02/2019,A LA Mer Skin Spa,,Benicia,CA,94510,,B+,1 to 4,657655601,,,,,,(707) 745-2488,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,A Lago Salon,949 Grant St # A,Benicia,CA,94510,2938,B+,1 to 4,416094575,Lago,Alex,Male,Owner,,(707) 745-1450,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,A Lily Of Gold,2006 Columbus Pkwy,Benicia,CA,94510,5400,B+,1 to 4,415569491,Pangelina,Amanda,Female,Owner,,(707) 747-5000,7231-19,Spas-Beauty & Day,"Less Than $500,000",7231-19,Spas-Beauty & Day,,
10/02/2018,04/02/2019,A Wise Tax Svc,1350 Hayes St # B14,Benicia,CA,94510,2933,C+,1 to 4,427393082,Wise,Al,Male,Owner,,(707) 634-4829,8721-05,Tax Consultants,"Less Than $500,000",8721-05,Tax Consultants,,
10/02/2018,04/02/2019,Abbott Concrete,832 Elane Way,Benicia,CA,94510,3023,B+,5 to 9,412882001,Abbott,Jason,Male,Owner,,(707) 758-6141,1771-05,Concrete Contractors,"$500,000-1 Million",1771-05,Concrete Contractors,,
10/02/2018,04/02/2019,ABC Muffler & Hitch,4592 E 2nd St # G,Benicia,CA,94510,1000,A,1 to 4,858542079,Richards,Jeff,Male,President,,(707) 746-5488,7533-01,Mufflers & Exhaust Systems-Engine,"Less Than $500,000",7533-01,Mufflers & Exhaust Systems-Engine,,
10/02/2018,04/02/2019,Accurate Electric,,Benicia,CA,94510,,C,1 to 4,710333302,,,,,,(707) 745-3360,1731-01,Electric Contractors,"Less Than $500,000",1731-01,Electric Contractors,,
10/02/2018,04/02/2019,ADT 24-7 Alarm Monitoring,,Benicia,CA,94510,,A,5 to 9,416094671,,,,,,(707) 745-4070,7382-02,Security Systems,"$500,000-1 Million",7382-02,Security Systems,,
10/02/2018,04/02/2019,Advanced Home Health Northbay,1100 Rose Dr # 160,Benicia,CA,94510,3642,C+,5 to 9,722433108,,,,,,(707) 745-3751,8082-01,Home Health Service,"Less Than $500,000",8082-01,Home Health Service,,
10/02/2018,04/02/2019,Advanced Mortgage,615 1st St,Benicia,CA,94510,3211,A,5 to 9,487441180,,,,,,(707) 750-5359,6162-01,Real Estate Loans,$1-2.5 Million,6162-01,Real Estate Loans,,
10/02/2018,04/02/2019,Advanced Mortgage Svc,1090 Adams St # L,Benicia,CA,94510,2953,B,1 to 4,712660615,,,,,,(707) 745-9600,6162-01,Real Estate Loans,$1-2.5 Million,6162-01,Real Estate Loans,,
10/02/2018,04/02/2019,Affiliated Insurance Brokers,1440 Military W # 202,Benicia,CA,94510,2450,C+,1 to 4,625822531,Small,Ric,Male,,,(707) 746-0590,7389-79,Notaries-Public,"Less Than $500,000",7389-79,Notaries-Public,,
10/02/2018,04/02/2019,Affordable Quality Cabinets,4852 E 2nd St,Benicia,CA,94510,1023,B+,1 to 4,394861439,Lemone,Allan,Male,Owner,(707) 745-1063,(707) 745-2100,5712-36,Cabinets,"$500,000-1 Million",5712-36,Cabinets,,
10/02/2018,04/02/2019,Aftermarket Radiator Exchange,4401 Park Rd,Benicia,CA,94510,1124,B+,1 to 4,440010134,,,,,,(989) 695-9700,7539-01,Automobile Radiator Repairing,"Less Than $500,000",7539-01,Automobile Radiator Repairing,,
10/02/2018,04/02/2019,Ahern Rentals,3673 Mallard Dr,Benicia,CA,94510,1244,A+,20 to 49,246605885,Callfield,Brian,Male,Manager,(707) 748-7996,(707) 748-1990,6531-27,Rental Agencies,$2.5-5 Million,6531-27,Rental Agencies,,
10/02/2018,04/02/2019,Albertson's Abbey Carpet-Floor,736 1st St,Benicia,CA,94510,3214,B+,5 to 9,715034074,,,,,,(707) 746-0324,5713-05,Carpet & Rug Dealers-New,$1-2.5 Million,5713-05,Carpet & Rug Dealers-New,,
10/02/2018,04/02/2019,Alex's Automotive Repair Ctr,3190 Bayshore Rd,Benicia,CA,94510,1232,A,5 to 9,308638261,Fernandez,Russ,Male,Owner,,(707) 746-5333,7538-01,Automobile Repairing & Service,"$500,000-1 Million",7538-01,Automobile Repairing & Service,,
10/02/2018,04/02/2019,Ali'i Sushi & Bbq,2126 Columbus Pkwy,Benicia,CA,94510,5402,B+,5 to 9,426423268,Ocreto,Ernest,Male,Owner,,(707) 747-5299,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,All About Beauty Day Spa,519 1st St,Benicia,CA,94510,3209,B+,1 to 4,416094616,,,,,,(707) 747-1471,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,All Gutters Svc,221 Commercial,Benicia,CA,94510,,B,1 to 4,657656559,,,,,,(707) 333-7058,1761-03,Gutters & Downspouts,"Less Than $500,000",1761-03,Gutters & Downspouts,,
10/02/2018,04/02/2019,Alliance Capital-Peter J Szabo,810 Oxford Way,Benicia,CA,94510,3646,A,1 to 4,858544497,Kraus,Peter,Male,CEO,,(707) 747-5104,6282-03,Financial Advisory Services,"Less Than $500,000",6282-03,Financial Advisory Services,,
10/02/2018,04/02/2019,Allstate Insurance,191 Military E # B,Benicia,CA,94510,2742,A,1 to 4,438235119,Guillermo,Jose N,Male,Owner,(707) 748-5818,(707) 748-5815,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Alpha Pacific Painting,113 Banbury Way,Benicia,CA,94510,1604,C+,1 to 4,410190948,,,,,,(707) 746-1656,1721-01,Painters,"Less Than $500,000",1721-01,Painters,,
10/02/2018,04/02/2019,Alpine Power Systems,538 Stone Rd # C,Benicia,CA,94510,1174,B+,1 to 4,700327074,,,,,,(707) 746-5844,8748-15,Telecommunications Consultants,"Less Than $500,000",8748-15,Telecommunications Consultants,,
10/02/2018,04/02/2019,American General Life Ins Co,300 Military W,Benicia,CA,94510,3037,A,1 to 4,487436743,Tierney,Michael J,Male,Manager,,(707) 747-0347,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,American Pacific Mortgage,2000 Columbus Pkwy,Benicia,CA,94510,5400,A,1 to 4,424534969,Norman,Pam,Female,Manager,,(916) 824-8700,6162-01,Real Estate Loans,$1-2.5 Million,6162-01,Real Estate Loans,,
10/02/2018,04/02/2019,Amso Health & Chiropractic MD,310 Military W # A,Benicia,CA,94510,3078,A,1 to 4,262266786,Amso,Basar,Male,Owner,,(707) 752-2990,8041-01,Chiropractors DC,"Less Than $500,000",8041-01,Chiropractors DC,,
10/02/2018,04/02/2019,"Amso, Bashar Dc",310 Military W,Benicia,CA,94510,3078,P,1 to 4,734509130,Amso,Bashar,Male,,,(707) 642-2676,8041-01,Chiropractors DC,"Less Than $500,000",8041-01,Chiropractors DC,,
10/02/2018,04/02/2019,Andersen Windows-West Coast,2250 Commerce Ave # A,Benicia,CA,94510,,B,5 to 9,439752241,,,,,,(707) 361-4716,5211-07,Windows,$1-2.5 Million,5211-07,Windows,,
10/02/2018,04/02/2019,Anderson Roofing,PO Box 156,Benicia,CA,94510,0156,B,1 to 4,961089950,Anderson,Phil,Male,Owner,,(707) 321-2625,1761-09,Roofing Contractors,"Less Than $500,000",1761-09,Roofing Contractors,,
10/02/2018,04/02/2019,Angel's Spa,2016 Columbus Pkwy,Benicia,CA,94510,5400,C,1 to 4,722539297,,,,,,(707) 297-6317,7991-05,Health Spas,"Less Than $500,000",7991-05,Health Spas,,
10/02/2018,04/02/2019,Animal Clinic Of Benicia,402 Military E,Benicia,CA,94510,2813,A+,10 to 19,858539166,Aleixo,Laurie,Female,Owner,(707) 745-4820,(707) 745-5993,0742-03,Animal Hospitals,$1-2.5 Million,0742-03,Animal Hospitals,,
10/02/2018,04/02/2019,Annie's Nails,2004 Columbus Pkwy,Benicia,CA,94510,5400,B,1 to 4,902066901,Thai,Bina,Female,Owner,,(707) 747-6688,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Appiano Installation Inc,4562 E 2nd St # D,Benicia,CA,94510,1014,C+,1 to 4,403759636,,,,,,(707) 751-0587,1521-13,Bathroom Remodeling,"$500,000-1 Million",1521-13,Bathroom Remodeling,,
10/02/2018,04/02/2019,Aroma Indian Cuisine-Benicia,818 1st St,Benicia,CA,94510,3216,B+,5 to 9,689530475,,,,,,(707) 745-1870,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,Asset Preservation-Associated,2150 Columbus Pkwy,Benicia,CA,94510,5402,A,1 to 4,588794073,,,,,(707) 557-6805,(707) 747-5100,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Athletics Galore,500 Stone Rd,Benicia,CA,94510,1114,B,1 to 4,858543366,Nowling,Aaron,Male,Owner,(707) 747-0986,(707) 746-7356,5699-17,T-Shirts-Retail,"Less Than $500,000",5699-17,T-Shirts-Retail,,
10/02/2018,04/02/2019,Ats Tax,1075 1st St # 6,Benicia,CA,94510,3200,A,5 to 9,858536196,Barata,Sylvia,Female,Owner,(707) 745-0281,(707) 745-1040,8721-05,Tax Consultants,"Less Than $500,000",8721-05,Tax Consultants,,
10/02/2018,04/02/2019,B & B Window & Gutter Cleaning,522 Toyon Pl,Benicia,CA,94510,3717,U,1 to 4,700388798,,,,,,(510) 644-1415,7349-04,Window Cleaning,"Less Than $500,000",7349-04,Window Cleaning,,
10/02/2018,04/02/2019,Bada Bing Salon,425 Military E # G,Benicia,CA,94510,2864,B+,1 to 4,618467633,,,,,,(707) 746-5566,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Baic Multi Media,117 E F St,Benicia,CA,94510,3226,C+,1 to 4,664248465,Spurlock,Cj,,Owner,,(707) 297-6789,7378-01,Computers-Service & Repair,"Less Than $500,000",7378-01,Computers-Service & Repair,,
10/02/2018,04/02/2019,Bank Of America,70 Solano Sq,Benicia,CA,94510,2712,A+,20 to 49,403995137,,,,,(707) 742-6219,(707) 747-4885,6021-01,Banks,$2.5-5 Million,6021-01,Banks,,
10/02/2018,04/02/2019,Barbarella's Beauty Salon,289 E H St,Benicia,CA,94510,3345,B+,1 to 4,858542095,Fletcher,Ruth,Female,Owner,,(707) 746-5525,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Baskin-Robbins,191 Military E # G,Benicia,CA,94510,2717,A+,10 to 19,858544745,Merk,Greg,Male,Owner,,(707) 747-6119,5812-03,Ice Cream Parlors,"$500,000-1 Million",5812-03,Ice Cream Parlors,,
10/02/2018,04/02/2019,Bay Area Carpet & Maintenance,4862 E 2nd St,Benicia,CA,94510,1023,B+,10 to 19,239976145,Davis,Ronald,Male,Owner,,(707) 745-5815,7217-04,Carpet & Rug Cleaners,"$500,000-1 Million",7217-04,Carpet & Rug Cleaners,,
10/02/2018,04/02/2019,Bay Area Coffee,4201 Industrial Way,Benicia,CA,94510,1228,A+,50 to 99,388060493,Waterman,Tom,Male,Owner,(707) 745-3224,(707) 745-1320,2095-01,Coffee & Tea Products-Manufacturers,$20-50 Million,2095-01,Coffee & Tea Products-Manufacturers,,
10/02/2018,04/02/2019,Bay Area Stairs,5390 Gateway Plaza Dr,Benicia,CA,94510,2123,B,1 to 4,359078920,Crews,Steven,Male,Owner,(707) 745-1856,(707) 745-1687,1799-18,Stair Builders,"$500,000-1 Million",1799-18,Stair Builders,,
10/02/2018,04/02/2019,Beecher Carlson,1350 Hayes St,Benicia,CA,94510,2945,A+,20 to 49,403759753,,,,,,(707) 748-7566,6411-12,Insurance,$2.5-5 Million,6411-12,Insurance,,
10/02/2018,04/02/2019,Belcher Insurance,174 Carlisle Way,Benicia,CA,94510,1616,B+,1 to 4,384911574,Belcher,Cecil,Male,Manager,,(707) 745-2246,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Benecia Family Chiropractic,1075 1st St # 3,Benicia,CA,94510,3200,A,1 to 4,625819669,Mcconnell,Megan,Female,Owner,,(707) 745-2345,8041-01,Chiropractors DC,"Less Than $500,000",8041-01,Chiropractors DC,,
10/02/2018,04/02/2019,Benecia Motor Works,1857 Park Rd,Benicia,CA,94510,2330,B,1 to 4,211415500,Vaz,Paulo,Male,Owner,,(707) 747-9753,7538-01,Automobile Repairing & Service,"Less Than $500,000",7538-01,Automobile Repairing & Service,,
10/02/2018,04/02/2019,Benicia Appliance Repair Men,842 Southampton Rd,Benicia,CA,94510,,U,1 to 4,735640957,Esposito,Donte,Male,Owner,,(530) 464-0907,7629-02,Appliances-Household-Major-Repairing,"Less Than $500,000",7629-02,Appliances-Household-Major-Repairing,,
10/02/2018,04/02/2019,Benicia Auto Sales,1060 Grant St # 1e,Benicia,CA,94510,2940,C+,1 to 4,178158754,Walsh,John,Male,Owner,,(707) 529-5372,5511-03,Automobile Dealers-Used Cars,"$500,000-1 Million",5511-03,Automobile Dealers-Used Cars,,
10/02/2018,04/02/2019,Benicia Ballet School,938 Tyler St # 204,Benicia,CA,94510,2913,B+,1 to 4,858542897,Kenrick,Margaret,Female,Exec Director,,(707) 746-6757,7911-01,Dancing Instruction,"Less Than $500,000",7911-01,Dancing Instruction,,
10/02/2018,04/02/2019,Benicia Bay Electric,318 Dale Ct,Benicia,CA,94510,2133,C+,1 to 4,237501333,LA Riviere,Arthur N,Male,Owner,,(707) 746-7466,1731-01,Electric Contractors,"Less Than $500,000",1731-01,Electric Contractors,,
10/02/2018,04/02/2019,Benicia Cabinetry,4824 E 2nd St,Benicia,CA,94510,1023,A,5 to 9,417398203,Foottit,John,Male,Sales,,(707) 746-5440,5712-11,Kitchen Cabinets & Equipment-Household,$1-2.5 Million,5712-11,Kitchen Cabinets & Equipment-Household,,
10/02/2018,04/02/2019,Benicia Cat Clinic,1410 E 2nd St,Benicia,CA,94510,2838,A+,5 to 9,402741586,,,,,,(707) 745-2287,0742-01,Veterinarians,"$500,000-1 Million",0742-01,Veterinarians,,
10/02/2018,04/02/2019,Benicia Crossfit,685 Stone Rd,Benicia,CA,94510,1055,B,1 to 4,721689130,,,,,,(707) 297-6384,7991-01,Health Clubs Studios & Gymnasiums,"Less Than $500,000",7991-01,Health Clubs Studios & Gymnasiums,,
10/02/2018,04/02/2019,Benicia Dental Care,560 1st St # B111,Benicia,CA,94510,3579,A+,5 to 9,588794081,Gapay,Joy,Female,Office Manager,(707) 747-1132,(707) 747-1110,8021-01,Dentists,"$500,000-1 Million",8021-01,Dentists,,
10/02/2018,04/02/2019,Benicia Family Dentistry,175 E N St,Benicia,CA,94510,2728,A+,1 to 4,566865432,Parish,Barry,Male,,(707) 745-1959,(707) 745-6441,8021-01,Dentists,"$500,000-1 Million",8021-01,Dentists,,
10/02/2018,04/02/2019,Benicia Fitness,606 1st St,Benicia,CA,94510,3212,A,20 to 49,301922027,Rund,Joy,Female,Owner,(707) 745-1535,(707) 745-1511,7991-01,Health Clubs Studios & Gymnasiums,"$500,000-1 Million",7991-01,Health Clubs Studios & Gymnasiums,,
10/02/2018,04/02/2019,Benicia Floor Co,84 Solano Sq,Benicia,CA,94510,2712,B,1 to 4,588793166,Bottini,Wayne,Male,Owner,(707) 745-0214,(707) 745-9024,5713-06,Floor Materials,"$500,000-1 Million",5713-06,Floor Materials,,
10/02/2018,04/02/2019,Benicia Grill,4760 E 2nd St,Benicia,CA,94510,1012,B+,5 to 9,664545654,Ahmad,Azizi,Male,Owner,,(707) 751-0155,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,Benicia Health & Fitness Club,1150 W 7th St # A,Benicia,CA,94510,2581,B+,5 to 9,530423771,Sorrentino,Barbara,Female,Owner,,(707) 751-0273,7991-01,Health Clubs Studios & Gymnasiums,"Less Than $500,000",7991-01,Health Clubs Studios & Gymnasiums,,
10/02/2018,04/02/2019,Benicia Heating & Air Cond,340 W Channel Rd # C,Benicia,CA,94510,1160,C+,1 to 4,858539430,Castillo,William,Male,Owner,(707) 745-6782,(707) 745-6556,1711-17,Air Conditioning Contractors & Systems,"Less Than $500,000",1711-17,Air Conditioning Contractors & Systems,,
10/02/2018,04/02/2019,Benicia Kindercare,1101 Rose Dr,Benicia,CA,94510,3659,A+,10 to 19,416094593,Certeza,Wendy,Female,Director,(707) 745-3215,(707) 745-0916,8351-02,Schools-Nursery & Kindergarten Academic,"Less Than $500,000",8351-02,Schools-Nursery & Kindergarten Academic,,
10/02/2018,04/02/2019,Benicia Oral Surgery,1440 E 2nd St # D,Benicia,CA,94510,2846,A,5 to 9,402168506,Bricker,Stephanie,Female,Office Manager,(707) 747-9625,(707) 747-9621,8021-01,Dentists,"$500,000-1 Million",8021-01,Dentists,,
10/02/2018,04/02/2019,Benicia Plumbing Inc,265 W Channel Rd,Benicia,CA,94510,1146,A,20 to 49,103991147,Cawley,William J,Male,CEO,(707) 745-0967,(707) 745-2930,1711-05,Plumbing Contractors,$2.5-5 Million,1711-05,Plumbing Contractors,,
10/02/2018,04/02/2019,Benicia State Recreation Area,1 State Park Rd,Benicia,CA,94510,3619,B+,1 to 4,214084782,Tapst,Jay,Male,Manager,,(707) 648-1911,7999-99,Amusement & Recreation NEC,"Less Than $500,000",7999-99,Amusement & Recreation NEC,,
10/02/2018,04/02/2019,Benicia Tax Svc,466 Brentwood Dr,Benicia,CA,94510,1440,C+,1 to 4,657655502,Alfeld,Louis,Male,Owner,,(707) 745-1054,7291-01,Tax Return Preparation & Filing,"Less Than $500,000",7291-01,Tax Return Preparation & Filing,,
10/02/2018,04/02/2019,Benicia's Studio One,273 E H St,Benicia,CA,94510,3345,B+,1 to 4,301921888,Dinsdale,Charlene,Female,Manager,,(707) 746-7257,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Best Cuts,191 Military E # E,Benicia,CA,94510,2717,B,1 to 4,262266208,Guont,Nhan,Male,Site Manager,,(707) 751-0224,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Big O Tires,415 Military E,Benicia,CA,94510,2812,A+,10 to 19,103991444,Balentine,Ray,Male,Manager,,(707) 750-5056,5531-23,Tire-Dealers-Retail,$2.5-5 Million,5531-23,Tire-Dealers-Retail,,
10/02/2018,04/02/2019,Bill Aton Painting,,Benicia,CA,94510,,C,1 to 4,439752212,,,,,,(707) 747-1772,1721-01,Painters,"Less Than $500,000",1721-01,Painters,,
10/02/2018,04/02/2019,Bill Aton Painting,917 Bolton Cir,Benicia,CA,94510,3621,C,1 to 4,410101537,Aton,Bill,Male,Owner,,(707) 396-2001,1721-01,Painters,"Less Than $500,000",1721-01,Painters,,
10/02/2018,04/02/2019,Black & Assoc,920 1st St # 205,Benicia,CA,94510,5505,A+,1 to 4,834761439,Dupuis,Steve,Male,Owner,(707) 746-1752,(707) 745-2081,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Bombshell Hair & Ink,120 E G St,Benicia,CA,94510,3229,B+,5 to 9,625819917,Graf,Cheri,Female,Owner,,(707) 748-7950,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Borg Fence & Decks,,Benicia,CA,94510,,C,1 to 4,434891799,,,,,,(707) 361-2450,1799-38,Fence Contractors,"Less Than $500,000",1799-38,Fence Contractors,,
10/02/2018,04/02/2019,Bray Concrete & Pumping,,Benicia,CA,94510,,B+,5 to 9,952493963,,,,,,(707) 745-6040,1771-05,Concrete Contractors,"$500,000-1 Million",1771-05,Concrete Contractors,,
10/02/2018,04/02/2019,Buchanan Inc,300 Military W # 306,Benicia,CA,94510,3037,A+,10 to 19,448482620,Daly,Christina,Female,Office Manager,(707) 745-5129,(707) 745-2525,8021-01,Dentists,$1-2.5 Million,8021-01,Dentists,,
10/02/2018,04/02/2019,Buck Factory Outlet,4680 E 2nd St # C,Benicia,CA,94510,1018,B,1 to 4,858539091,Fasanaro,Guy,Male,Owner,(707) 745-9708,(707) 745-5933,5719-08,Wood Burning Stoves,"Less Than $500,000",5719-08,Wood Burning Stoves,,
10/02/2018,04/02/2019,Buddahful Salon,814 1st St,Benicia,CA,94510,3216,B+,5 to 9,656849965,Pappas,Amy,Female,Owner,,(707) 745-4409,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Buon Appetito-Benicia,191 Military E # F,Benicia,CA,94510,2717,A,10 to 19,588796151,Oviedo,Martino,Male,Owner,(707) 746-7496,(707) 746-7410,5812-08,Restaurants,"$500,000-1 Million",5812-08,Restaurants,,
10/02/2018,04/02/2019,Burger King,1980 Columbus Pkwy,Benicia,CA,94510,5401,A+,10 to 19,448482109,Gonzales,Rosa,Female,Site Manager,(707) 746-1980,(707) 746-1980,5812-08,Restaurants,"$500,000-1 Million",5812-08,Restaurants,,
10/02/2018,04/02/2019,Burger King,828 Southampton Rd,Benicia,CA,94510,1907,A+,10 to 19,858543135,Placsicnsia,Ramiro,Male,Site Manager,,(707) 745-6685,5812-08,Restaurants,"$500,000-1 Million",5812-08,Restaurants,,
10/02/2018,04/02/2019,By The Bay Skin Care & Massage,2006 Columbus Pkwy,Benicia,CA,94510,5400,B+,1 to 4,562659474,,,,,,(707) 747-5407,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,C & C Auto Benicia,4251 Park Rd,Benicia,CA,94510,1100,B+,1 to 4,177681400,Clemons,Nathan,Male,Owner,,(707) 745-9649,5531-11,Automobile Parts & Supplies-Retail-New,"Less Than $500,000",5531-11,Automobile Parts & Supplies-Retail-New,,
10/02/2018,04/02/2019,Cal Bay Svc,4740 E 2nd St # 27,Benicia,CA,94510,1024,A+,50 to 99,483051348,Estrada,Max,Male,Owner,,(707) 746-8755,1711-17,Air Conditioning Contractors & Systems,$5-10 Million,1711-17,Air Conditioning Contractors & Systems,,
10/02/2018,04/02/2019,California Comfort,4680 E 2nd St # D,Benicia,CA,94510,1018,B,1 to 4,412822311,,,,,,(707) 745-2003,5719-32,Fireplaces,"Less Than $500,000",5719-32,Fireplaces,,
10/02/2018,04/02/2019,Camellia Tea Room-Benicia,828 1st St # C,Benicia,CA,94510,3297,A+,10 to 19,902069681,Hayes,Mary Ellen,Female,Owner,(707) 746-1737,(707) 746-5293,5812-08,Restaurants,"$500,000-1 Million",5812-08,Restaurants,,
10/02/2018,04/02/2019,"Campbell, Tom DDS",164 E H St,Benicia,CA,94510,3231,A+,1 to 4,858536857,Campbell,Tom,Male,,(707) 745-1995,(707) 745-1994,8021-01,Dentists,"$500,000-1 Million",8021-01,Dentists,,
10/02/2018,04/02/2019,Canaday Family Daycare,,Benicia,CA,94510,,C+,1 to 4,980816581,Canaday,Cathy,Female,Owner,,(707) 746-1632,8351-01,Child Care Service,"Less Than $500,000",8351-01,Child Care Service,,
10/02/2018,04/02/2019,Care Network LLC,PO Box 1161,Benicia,CA,94510,4161,A,20 to 49,527063093,Haban,Carmen,Female,President,(707) 747-2723,(707) 747-2720,7389-99,Business Services NEC,$1-2.5 Million,7389-99,Business Services NEC,,
10/02/2018,04/02/2019,Carl's Jr,5990 E 2nd St,Benicia,CA,94510,1003,A+,20 to 49,961092061,Vasulco,Susanna,Female,Site Manager,(707) 745-9383,(707) 745-9191,5812-08,Restaurants,$1-2.5 Million,5812-08,Restaurants,,
10/02/2018,04/02/2019,Carla Salon,932 W 2nd St,Benicia,CA,94510,3111,B+,1 to 4,301354429,Lougee,Carla,Female,Owner,,(707) 745-9322,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
