Date List Produced,Record Expiration Date,Company Name,Mailing Address,Mailing City,Mailing State,Mailing Zip Code,Mailing Zip 4,Credit Rating Score,Location Employee Size Range,IUSA Number,Executive Last Name,Executive First Name,Executive Gender,Executive Title,Fax Number Combined,Phone Number Combined,Primary SIC Code,Primary SIC Code Description,Location Sales Volume Range,SIC Code 1,SIC Code Description 1,Lead Status,Tags
10/02/2018,04/02/2019,Carpet Of New Zealand,5401 Industrial Way,Benicia,CA,94510,1010,A+,20 to 49,239976384,Bell,Bruce,Male,Owner,(707) 747-7208,(707) 747-7205,5713-05,Carpet & Rug Dealers-New,$5-10 Million,5713-05,Carpet & Rug Dealers-New,,
10/02/2018,04/02/2019,Carquinez Dental Group,142 E D St,Benicia,CA,94510,3223,A,1 to 4,402168505,Singh,Sukhmani,Male,,(707) 745-6347,(707) 745-8002,8021-01,Dentists,"$500,000-1 Million",8021-01,Dentists,,
10/02/2018,04/02/2019,Carroll Tire Co,4280 Iowa St,Benicia,CA,94510,1198,A,10 to 19,689531366,,,,,,(707) 745-3686,5014-01,Tire-Distributors (Whls),$10-20 Million,5014-01,Tire-Distributors (Whls),,
10/02/2018,04/02/2019,Centi Mark Corp,6620 Goodyear Rd,Benicia,CA,94510,1250,A+,20 to 49,427605140,,,,,,(707) 361-2600,1761-09,Roofing Contractors,$2.5-5 Million,1761-09,Roofing Contractors,,
10/02/2018,04/02/2019,Central Backhoe & Dump Truck,408 Ofarrell Dr,Benicia,CA,94510,1407,B,1 to 4,315615278,Rogelstad,Tim,Male,Owner,,(707) 745-1824,1794-03,Excavating Contractors,"Less Than $500,000",1794-03,Excavating Contractors,,
10/02/2018,04/02/2019,Char's Hot Dogs,131 1st St # A,Benicia,CA,94510,3272,B+,1 to 4,858538382,Casarino,Kim,Female,Owner,,(707) 745-4476,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,Charlie's Hair Salon,133 E E St,Benicia,CA,94510,3224,A,10 to 19,487436669,Alves,Charles,Male,Owner,,(707) 745-2479,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Charlie's Window Cleaning Svc,,Benicia,CA,94510,,C+,1 to 4,952498517,Cubit,Charles,Male,Owner,,(707) 746-0564,7349-04,Window Cleaning,"Less Than $500,000",7349-04,Window Cleaning,,
10/02/2018,04/02/2019,Chase,802 Southampton Rd,Benicia,CA,94510,1907,B,1 to 4,718977855,,,,,,(707) 747-1076,6282-03,Financial Advisory Services,"Less Than $500,000",6282-03,Financial Advisory Services,,
10/02/2018,04/02/2019,Check Into Cash,806 Southampton Rd # C4-A,Benicia,CA,94510,1907,B+,1 to 4,530423946,Placencia,Elizabeth,Female,Site Manager,(707) 745-9733,(707) 745-9730,6141-13,Payday Loans,$1-2.5 Million,6141-13,Payday Loans,,
10/02/2018,04/02/2019,Chevron Station,2054 Columbus Pkwy,Benicia,CA,94510,5400,A+,5 to 9,448482174,Simonin,Elysea,Female,Site Manager,,(707) 746-8308,5541-01,Service Stations-Gasoline & Oil,$5-10 Million,5541-01,Service Stations-Gasoline & Oil,,
10/02/2018,04/02/2019,Chiropractic Center Of Benicia,701 Southampton Rd # 104,Benicia,CA,94510,2076,A+,1 to 4,562659011,Wilson,Judith,Female,Owner,(707) 748-0669,(707) 748-0880,8041-01,Chiropractors DC,"Less Than $500,000",8041-01,Chiropractors DC,,
10/02/2018,04/02/2019,Chris Engine & Auto Repair Inc,PO Box 395,Benicia,CA,94510,1012,A,5 to 9,858541907,Terry,Chris,Male,Owner,,(707) 746-5143,7538-01,Automobile Repairing & Service,"$500,000-1 Million",7538-01,Automobile Repairing & Service,,
10/02/2018,04/02/2019,Christopher Group,836 Southampton Rd # B Pmb 275,Benicia,CA,94510,1960,C+,1 to 4,511820417,Christopher,Martha,Female,Owner,,(707) 746-8444,7299-34,Weight Control Services,"Less Than $500,000",7299-34,Weight Control Services,,
10/02/2018,04/02/2019,Chrysalis,333 1st St,Benicia,CA,94510,3258,B,1 to 4,707604966,,,,,,(707) 745-3765,7231-19,Spas-Beauty & Day,"Less Than $500,000",7231-19,Spas-Beauty & Day,,
10/02/2018,04/02/2019,Computer 1,737 1st St,Benicia,CA,94510,3213,C,1 to 4,394860456,Hernandez,Jorge,Male,Manager,,(707) 747-0417,7378-01,Computers-Service & Repair,"Less Than $500,000",7378-01,Computers-Service & Repair,,
10/02/2018,04/02/2019,Consumer Credit Counseling Svc,,Benicia,CA,94510,,B+,1 to 4,402168480,,,,,,(707) 745-6034,6282-03,Financial Advisory Services,"Less Than $500,000",6282-03,Financial Advisory Services,,
10/02/2018,04/02/2019,Consumers Choice Mortgage,1350 Hayes St # C6,Benicia,CA,94510,2969,B+,1 to 4,414477036,,,,,,(707) 747-5844,6162-01,Real Estate Loans,$1-2.5 Million,6162-01,Real Estate Loans,,
10/02/2018,04/02/2019,Cook Security Group,538 Stone Rd # F,Benicia,CA,94510,1174,C+,5 to 9,712457389,,,,,,(707) 745-3170,7382-02,Security Systems,"$500,000-1 Million",7382-02,Security Systems,,
10/02/2018,04/02/2019,Cook's Kitchen & Bath Inc,701 Southampton Rd # 103,Benicia,CA,94510,2076,C+,1 to 4,394861538,Cook,David,Male,President,,(707) 342-2820,1521-39,Remodeling & Repairing Bldg Contractors,"$500,000-1 Million",1521-39,Remodeling & Repairing Bldg Contractors,,
10/02/2018,04/02/2019,Corner Salon,888 Southampton Rd,Benicia,CA,94510,1907,B+,1 to 4,415142377,,,,,,(707) 746-7546,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Cornerstone Financial Group,555 1st St,Benicia,CA,94510,3360,B,1 to 4,708083312,,,,,,(707) 297-6954,6282-03,Financial Advisory Services,"Less Than $500,000",6282-03,Financial Advisory Services,,
10/02/2018,04/02/2019,Courtyard Salon & Spa,114 W D St,Benicia,CA,94510,3102,B+,1 to 4,262266273,,,,,,(707) 745-6788,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Crossfit 707,538 Stone Rd # A,Benicia,CA,94510,1174,B,1 to 4,431751113,,,,,,(707) 361-5679,7991-01,Health Clubs Studios & Gymnasiums,"Less Than $500,000",7991-01,Health Clubs Studios & Gymnasiums,,
10/02/2018,04/02/2019,Curtin's Quality Pool Svc,PO Box 1132,Benicia,CA,94510,4132,C+,1 to 4,858536949,Curtin,Mike,Male,Owner,,(707) 745-2116,1799-85,Swimming Pool Repair & Service,"Less Than $500,000",1799-85,Swimming Pool Repair & Service,,
10/02/2018,04/02/2019,Dalin Designs,218 W Tennys Dr,Benicia,CA,94510,2104,C,1 to 4,405921547,Hubbard,Linda,Female,Owner,,(707) 748-4440,8999-86,Artists Mixed Media Contemporary,"Less Than $500,000",8999-86,Artists Mixed Media Contemporary,,
10/02/2018,04/02/2019,Dan's Glass Inc,,Benicia,CA,94510,,B+,1 to 4,214080988,,,,,,(707) 746-7804,5231-10,Glass-Auto Plate & Window & Etc,"Less Than $500,000",5231-10,Glass-Auto Plate & Window & Etc,,
10/02/2018,04/02/2019,Delta Deli,6000 Egret Ct,Benicia,CA,94510,1255,B+,1 to 4,404001455,Kim,Ted,Male,Owner,(707) 747-0710,(707) 747-9031,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,Delta Landscaping,1246 Monte Vista Ct,Benicia,CA,94510,2435,B,1 to 4,371851270,,,,,,(707) 747-1235,0782-04,Landscape Contractors,"Less Than $500,000",0782-04,Landscape Contractors,,
10/02/2018,04/02/2019,Denttech USA,PO Box 473,Benicia,CA,94510,0473,B+,1 to 4,533250908,Dismuke,Robert,Male,Owner,,(707) 746-5755,7532-01,Automobile Body-Repairing & Painting,"Less Than $500,000",7532-01,Automobile Body-Repairing & Painting,,
10/02/2018,04/02/2019,Dependable Heating & Air Cond,,Benicia,CA,94510,,A,5 to 9,434891819,,,,,,(707) 400-0825,1711-17,Air Conditioning Contractors & Systems,$1-2.5 Million,1711-17,Air Conditioning Contractors & Systems,,
10/02/2018,04/02/2019,Dermesthetics,136 White Chapel Dr,Benicia,CA,94510,1627,B+,1 to 4,530424795,Madison,Stehanie,Female,Other,,(707) 746-5661,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Designer Cuts,831 E 2nd St # 201,Benicia,CA,94510,3324,B+,1 to 4,412807490,,,,,,(707) 746-6025,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Detail Shop,988 Adams St,Benicia,CA,94510,2943,C+,1 to 4,858544356,Santos,Mark,Male,Owner,,(707) 747-1409,7542-01,Car Washing & Polishing,"Less Than $500,000",7542-01,Car Washing & Polishing,,
10/02/2018,04/02/2019,Dianna's Bakery & Cafe,639 1st St,Benicia,CA,94510,3211,B,5 to 9,716623032,,,,,,(707) 297-6186,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,Dina Matteson-State Farm Ins,1440 E 2nd St # C,Benicia,CA,94510,2846,B+,1 to 4,434891861,Matteson,Dina,Female,,(707) 747-0100,(707) 747-1700,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Dollar Tree,856 Southampton Rd,Benicia,CA,94510,1907,A,10 to 19,426829879,,,,,,(707) 751-1487,5331-01,Variety Stores,$1-2.5 Million,5331-01,Variety Stores,,
10/02/2018,04/02/2019,Double Rainbow,560 1st St # A105,Benicia,CA,94510,3579,A,10 to 19,961092087,,,,,,(707) 745-5000,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,Duracite Manufacturing Co,3890 Industrial Way,Benicia,CA,94510,1200,A+,50 to 99,448578385,Butler,John,Male,Principal,(707) 437-1439,(707) 437-1439,3281-01,Granite Products-Manufacturers,$2.5-5 Million,3281-01,Granite Products-Manufacturers,,
10/02/2018,04/02/2019,East Bay Tire Co,4961 Park Rd,Benicia,CA,94510,1190,A+,10 to 19,262270846,Larimer,Neil,Male,Site Manager,(707) 745-2261,(707) 747-5613,7534-01,Tire-Retreading & Repairing,$1-2.5 Million,7534-01,Tire-Retreading & Repairing,,
10/02/2018,04/02/2019,Easy-Jobs Electric,102 Carlisle Way,Benicia,CA,94510,1609,C+,1 to 4,412828421,Carr,Evan,Male,Owner,,(707) 980-2222,1731-01,Electric Contractors,"Less Than $500,000",1731-01,Electric Contractors,,
10/02/2018,04/02/2019,ECCO Engineering & Constr,728 Primrose Ln,Benicia,CA,94510,3817,A,20 to 49,466514932,Hose,Chris,Male,General Mgr,(707) 745-0611,(707) 745-9660,1731-01,Electric Contractors,$2.5-5 Million,1731-01,Electric Contractors,,
10/02/2018,04/02/2019,Edgewater Plumbing Of Benicia,6170 Egret Ct,Benicia,CA,94510,1269,C+,1 to 4,426980206,,,,,,(707) 747-9204,1711-05,Plumbing Contractors,"Less Than $500,000",1711-05,Plumbing Contractors,,
10/02/2018,04/02/2019,Edward Jones,555 1st St # 104,Benicia,CA,94510,3280,A,1 to 4,902068733,Schelble,Lisa,Female,Administrator,,(707) 745-8133,6282-03,Financial Advisory Services,"$500,000-1 Million",6282-03,Financial Advisory Services,,
10/02/2018,04/02/2019,Eiko Beauty Salon,508 Breck Ct,Benicia,CA,94510,1372,B,1 to 4,312431158,Yamashita,Eiko,Female,Owner,,(925) 689-7334,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Elisabeth's Hair Design,601 1st St # 101,Benicia,CA,94510,3277,B,1 to 4,404001158,Gray,Elisabeth,Female,Owner,,(707) 745-1300,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Elle Insurance Svc,2134 Columbus Pkwy,Benicia,CA,94510,5402,A,1 to 4,433124403,Schaeffer,Lori,Female,Manager,(707) 747-1915,(707) 747-1904,6411-12,Insurance,"$500,000-1 Million",6411-12,Insurance,,
10/02/2018,04/02/2019,Ensenada Restaurant,864 Southampton Rd,Benicia,CA,94510,1907,A,5 to 9,103993986,Gonzalez,David,Male,Owner,,(707) 745-5536,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,Estenson Electrical Ent Inc,5458 Gateway Plaza Dr,Benicia,CA,94510,2122,C+,1 to 4,427993292,,,,,,(707) 427-2886,1731-01,Electric Contractors,"Less Than $500,000",1731-01,Electric Contractors,,
10/02/2018,04/02/2019,Estenson Electrical Enterprise,175 W Seaview Dr,Benicia,CA,94510,2134,C+,1 to 4,253220495,,,,,,(707) 746-1048,1731-01,Electric Contractors,"Less Than $500,000",1731-01,Electric Contractors,,
10/02/2018,04/02/2019,Exclusive Tile,785 Oxford Way,Benicia,CA,94510,3801,U,1 to 4,722256346,,,,,,(707) 297-5168,1743-01,Tile-Ceramic-Contractors & Dealers,"Less Than $500,000",1743-01,Tile-Ceramic-Contractors & Dealers,,
10/02/2018,04/02/2019,F E S Insurance Co,1527 E 4th St,Benicia,CA,94510,2832,B,1 to 4,726959825,,,,,,(707) 742-4545,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Family Dental Care,118 W K St,Benicia,CA,94510,3120,A+,1 to 4,735387768,Tosch,Ronald J,Male,,(707) 745-6019,(707) 745-2130,8021-01,Dentists,"$500,000-1 Million",8021-01,Dentists,,
10/02/2018,04/02/2019,Family Dental Health,1440 Military W # 102,Benicia,CA,94510,2446,A,5 to 9,262271372,Shulak,Wanda,Female,Manager,(707) 745-8965,(707) 745-2121,8021-04,Cosmetic Dentistry,"$500,000-1 Million",8021-04,Cosmetic Dentistry,,
10/02/2018,04/02/2019,Fantastic Sams,75 Solano Sq,Benicia,CA,94510,2712,B+,1 to 4,618466999,Ardales,Ed,Male,Owner,,(707) 745-1028,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Farmers Insurance,1021 1st St # 1,Benicia,CA,94510,3215,B+,1 to 4,425430997,Thompson,Samuel,Male,Owner,,(707) 751-3800,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Farmers Insurance,159 E D St,Benicia,CA,94510,3294,A,1 to 4,417419439,Williams,Joshua,Male,Manager,(707) 747-6814,(707) 746-7395,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Farmers Insurance,2044 Columbus Pkwy,Benicia,CA,94510,5400,B+,1 to 4,242002665,Allen,Julia,Female,Owner,(707) 745-3366,(707) 745-3355,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Farmers Insurance,271 E H St,Benicia,CA,94510,3345,A,1 to 4,403814465,Trussell,Terry,Male,Owner,(707) 746-1273,(707) 746-1319,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Farmers Insurance,425 Military E # A,Benicia,CA,94510,2864,A,1 to 4,649753340,Inanlou,Pouria,Male,Partner,(925) 478-2996,(925) 465-6266,6411-12,Insurance,"$500,000-1 Million",6411-12,Insurance,,
10/02/2018,04/02/2019,Farmers Insurance-Curtis Reed,1021 1st St # 1,Benicia,CA,94510,3215,B+,1 to 4,716870592,Reed,Curtis,Male,,(866) 422-4481,(707) 361-4097,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Farmers Insurance-Pouria Innl,555 1st St # 305,Benicia,CA,94510,3280,B,1 to 4,403933533,Inanlou,Pouria,Male,,(925) 478-2996,(925) 465-6266,6331-01,Insurance-Property & Casualty,$2.5-5 Million,6331-01,Insurance-Property & Casualty,,
10/02/2018,04/02/2019,Featherer Pet Inc,PO Box 341,Benicia,CA,94510,0341,B,1 to 4,303864516,Featherer,Delores,Female,Owner,,(707) 745-5016,0752-04,Pet Washing & Grooming,"Less Than $500,000",0752-04,Pet Washing & Grooming,,
10/02/2018,04/02/2019,First Class Home Inspections,PO Box 1392,Benicia,CA,94510,4392,B,1 to 4,684641954,Garcia,Robert,Male,Owner,,(707) 299-6843,6531-22,Real Estate Inspection,"Less Than $500,000",6531-22,Real Estate Inspection,,
10/02/2018,04/02/2019,First Impressions Benicia,832 1st St,Benicia,CA,94510,3216,A+,20 to 49,982563249,Stevens,Kathy,Female,Owner,,(707) 747-6910,7231-06,Beauty Salons,"$500,000-1 Million",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,First Street Cafe,440 1st St,Benicia,CA,94510,3208,A+,20 to 49,448483024,Krull,Mark R,Male,Owner,(707) 745-1485,(707) 745-2666,5812-08,Restaurants,$1-2.5 Million,5812-08,Restaurants,,
10/02/2018,04/02/2019,Fisher Lifecycle Svc,531 Getty Ct # D,Benicia,CA,94510,1180,B,10 to 19,712653031,Compartore,Nick,Male,Manager,,(707) 745-4664,1731-01,Electric Contractors,$1-2.5 Million,1731-01,Electric Contractors,,
10/02/2018,04/02/2019,Fitness Superstore Inc,537 Stone Rd # F,Benicia,CA,94510,1171,C+,1 to 4,433414280,,,,,,(925) 215-2927,5941-13,Sporting Goods-Retail,"Less Than $500,000",5941-13,Sporting Goods-Retail,,
10/02/2018,04/02/2019,Floor Coverings Direct,930 Bolton Cir,Benicia,CA,94510,3620,A,5 to 9,961088804,Quan,Regina,Female,Owner,,(707) 747-5854,5713-05,Carpet & Rug Dealers-New,$1-2.5 Million,5713-05,Carpet & Rug Dealers-New,,
10/02/2018,04/02/2019,Floors On First,840 1st St,Benicia,CA,94510,3216,C+,1 to 4,960097822,Stevens,Marilyn,Female,Owner,,(707) 747-5999,1752-03,Floor Laying Refinishing & Resurfacing,"Less Than $500,000",1752-03,Floor Laying Refinishing & Resurfacing,,
10/02/2018,04/02/2019,Forever Sala Thai,718 1st St,Benicia,CA,94510,3214,B+,5 to 9,700744466,,,,,,(707) 745-1818,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,Freedom Mortgage Corp,1021 1st St,Benicia,CA,94510,3215,B+,1 to 4,705449054,,,,,,(707) 745-5510,6162-01,Real Estate Loans,$1-2.5 Million,6162-01,Real Estate Loans,,
10/02/2018,04/02/2019,From The Core Fitness,560 1st St # D200,Benicia,CA,94510,3581,C+,1 to 4,262270861,Hevener,Nancy,Female,Owner,,(707) 373-9245,7991-01,Health Clubs Studios & Gymnasiums,"Less Than $500,000",7991-01,Health Clubs Studios & Gymnasiums,,
10/02/2018,04/02/2019,Full Coverage Motorsports,5380 Gateway Plaza Dr,Benicia,CA,94510,2123,B+,1 to 4,394857593,Baker,John,Male,President,(707) 745-3168,(707) 745-3158,7538-01,Automobile Repairing & Service,"Less Than $500,000",7538-01,Automobile Repairing & Service,,
10/02/2018,04/02/2019,G & C Auto Body Inc,980 Adams St,Benicia,CA,94510,2943,C+,1 to 4,735604326,,,,,,(707) 745-3585,7532-01,Automobile Body-Repairing & Painting,"$500,000-1 Million",7532-01,Automobile Body-Repairing & Painting,,
10/02/2018,04/02/2019,"Gabrielson, Martin R",189 E H St,Benicia,CA,94510,3230,A,1 to 4,465084077,Gabrielson,Martin R,Male,,,(707) 745-8200,8111-03,Attorneys,"Less Than $500,000",8111-03,Attorneys,,
10/02/2018,04/02/2019,Gaia Nails,834 Southampton Rd,Benicia,CA,94510,1907,C+,5 to 9,736261251,Lai,Thao,Female,Owner,,(707) 361-5261,7231-01,Skin Treatments,"Less Than $500,000",7231-01,Skin Treatments,,
10/02/2018,04/02/2019,Garden Heights Landscaping,941 Grant St,Benicia,CA,94510,2956,B,1 to 4,259164333,Glaser,Mitch,Male,Owner,,(707) 246-6696,0782-04,Landscape Contractors,"Less Than $500,000",0782-04,Landscape Contractors,,
10/02/2018,04/02/2019,Gavin & Schreiner Insurance,828 1st St # A,Benicia,CA,94510,3297,A+,1 to 4,404000184,Gavin,Tom,Male,Partner,(707) 745-5903,(707) 745-5626,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Gaynel Kew E A Tax & Fncl Svc,1090 Adams St # B,Benicia,CA,94510,2953,B,1 to 4,657655825,Kew,Gaynell,Female,Owner,(707) 747-5629,(707) 745-8101,7291-01,Tax Return Preparation & Filing,"Less Than $500,000",7291-01,Tax Return Preparation & Filing,,
10/02/2018,04/02/2019,Geoff's Computer Svc,,Benicia,CA,94510,,C+,1 to 4,416094604,,,,,,(707) 742-3952,7378-01,Computers-Service & Repair,"Less Than $500,000",7378-01,Computers-Service & Repair,,
10/02/2018,04/02/2019,Geoff's Computer Svc,88 Buena Vista,Benicia,CA,94510,2653,C,1 to 4,674104211,Vanpelt,Geoff,Male,Owner,,(707) 246-3889,7378-01,Computers-Service & Repair,"Less Than $500,000",7378-01,Computers-Service & Repair,,
10/02/2018,04/02/2019,GHX Industrial LLC,2970 Bay Vista Ct,Benicia,CA,94510,1165,A+,10 to 19,438974884,,,,,,(714) 747-5651,5085-15,Gaskets (Whls),$10-20 Million,5085-15,Gaskets (Whls),,
10/02/2018,04/02/2019,GMA Construction,,Benicia,CA,94510,,C+,1 to 4,562661694,,,,,,(707) 748-0711,1521-39,Remodeling & Repairing Bldg Contractors,"$500,000-1 Million",1521-39,Remodeling & Repairing Bldg Contractors,,
10/02/2018,04/02/2019,Go Handyman Svc,836 B Southampton Rd 14 #94510,Benicia,CA,94510,,U,1 to 4,735123733,,,,,,(707) 975-7172,1521-15,Handyman Services,"Less Than $500,000",1521-15,Handyman Services,,
10/02/2018,04/02/2019,Golden Gate Gardens,3170 Mallard Dr,Benicia,CA,94510,,B+,1 to 4,625823349,Degbie,Brett,Male,President,,(707) 246-2983,0782-04,Landscape Contractors,"Less Than $500,000",0782-04,Landscape Contractors,,
10/02/2018,04/02/2019,Golden Reef,555 1st St # 103,Benicia,CA,94510,3280,B,1 to 4,423733163,,,,,,(707) 750-5764,7299-44,Tanning Salons,"Less Than $500,000",7299-44,Tanning Salons,,
10/02/2018,04/02/2019,Golden West Motors,4592 E 2nd St,Benicia,CA,94510,1045,C,1 to 4,710596449,,,,,,(707) 342-5075,5511-03,Automobile Dealers-Used Cars,$1-2.5 Million,5511-03,Automobile Dealers-Used Cars,,
10/02/2018,04/02/2019,Good Nails,2072 Columbus Pkwy,Benicia,CA,94510,5400,C+,1 to 4,401700387,Nguyen,Andrew,Male,Owner,,(707) 745-0968,7231-02,Manicuring,"Less Than $500,000",7231-02,Manicuring,,
10/02/2018,04/02/2019,Goodyear Tire Ctr,4601 Park Rd,Benicia,CA,94510,1118,A,5 to 9,425542340,Buck,Dave,Male,Administrator,,(707) 745-3249,5531-23,Tire-Dealers-Retail,$1-2.5 Million,5531-23,Tire-Dealers-Retail,,
10/02/2018,04/02/2019,Got Plate Lunch,1034 1st St,Benicia,CA,94510,3220,B+,5 to 9,433270706,,,,,,(707) 745-4751,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,Grand China,718 1st St,Benicia,CA,94510,3214,A,5 to 9,588796318,Chou,Amy,Female,Owner,,(707) 745-5359,5812-08,Restaurants,"Less Than $500,000",5812-08,Restaurants,,
10/02/2018,04/02/2019,Griffin Fitness,2038 Columbus Pkwy,Benicia,CA,94510,5400,B+,5 to 9,203103882,Mcveigh,Lisa,Female,Manager,,(707) 747-6677,7991-01,Health Clubs Studios & Gymnasiums,"Less Than $500,000",7991-01,Health Clubs Studios & Gymnasiums,,
10/02/2018,04/02/2019,Grossman Financial Management,560 1st St # B203,Benicia,CA,94510,3293,B,1 to 4,993278456,Grossman,Lawrence,Male,Owner,,(707) 745-8756,6282-05,Financial Planning Consultants,"$500,000-1 Million",6282-05,Financial Planning Consultants,,
10/02/2018,04/02/2019,Hands-Down,1100 E 7th St,Benicia,CA,94510,3586,C+,1 to 4,394860647,Fallon,Debbie,Female,Owner,,(707) 751-0300,7231-06,Beauty Salons,"Less Than $500,000",7231-06,Beauty Salons,,
10/02/2018,04/02/2019,Harbor Dental,202 Military E,Benicia,CA,94510,2809,A,1 to 4,239977630,Swoboda,Scott,Male,,(707) 746-1211,(707) 746-1234,8021-01,Dentists,"$500,000-1 Million",8021-01,Dentists,,
10/02/2018,04/02/2019,Hire My Husband Home Repair,497 Mills Dr,Benicia,CA,94510,1429,B,5 to 9,720209121,Urban,Dawson,Male,Owner,,(707) 746-7958,1521-05,Home Improvements,$1-2.5 Million,1521-05,Home Improvements,,
10/02/2018,04/02/2019,Hobson Painting & Coatings,PO Box 834,Benicia,CA,94510,0834,B,1 to 4,506820042,Hobson,Brian,Male,Owner,(707) 747-3740,(707) 747-0427,3479-04,Coatings-Protective-Manufacturers,"Less Than $500,000",3479-04,Coatings-Protective-Manufacturers,,
10/02/2018,04/02/2019,Home Town Tire & Automotive,4680 E 2nd St,Benicia,CA,94510,1050,C+,1 to 4,715840751,,,,,,(707) 297-6865,7538-01,Automobile Repairing & Service,"Less Than $500,000",7538-01,Automobile Repairing & Service,,
10/02/2018,04/02/2019,House Wizard,,Benicia,CA,94510,,C,1 to 4,214081697,,,,,,(707) 747-5713,1521-15,Handyman Services,"Less Than $500,000",1521-15,Handyman Services,,
10/02/2018,04/02/2019,Huckleberry's,800 Southampton Rd,Benicia,CA,94510,1907,A,10 to 19,433596411,Lundin,Jeff,Male,Site Manager,,(707) 745-3739,5812-08,Restaurants,$1-2.5 Million,5812-08,Restaurants,,
10/02/2018,04/02/2019,Inanlou Agency,555 1st St # 305,Benicia,CA,94510,3280,B+,1 to 4,427954316,,,,,,(707) 297-6528,6411-12,Insurance,"Less Than $500,000",6411-12,Insurance,,
10/02/2018,04/02/2019,Innovel,521 Stone Rd,Benicia,CA,94510,1113,B+,20 to 49,400203190,Shaw,Dixie,Female,Manager,,(707) 748-1940,8742-66,Logistics,$1-2.5 Million,8742-66,Logistics,,
